source,target
Harald Fuchs,CeNTech
Andreas J. Heinrich,A Boy and His Atom
Andreas J. Heinrich,Don Eigler
Andreas J. Heinrich,Feynman Prize in Nanotechnology
Andreas J. Heinrich,Scanning tunneling microscope
Wolfgang Parak,Nanomaterials
Heike Riel,OLED
Michael Tsapatsis,Polymer nanocomposite
Pulickel Ajayan,Sumio Iijima
Pulickel Ajayan,Thomas Ebbesen
Sangeeta Bhatia,Bio-MEMS
Sangeeta Bhatia,Nanotechnology
Anita Goel,Nanotechnology
Lakshmi Kantam,Nanomaterials
Sulabha K. Kulkarni,Nanotechnology
Owais Mohammad,International Journal of Nanomedicine
Owais Mohammad,Nanoparticle
Owais Mohammad,Nanotechnology
Thalappil Pradeep,Surface-enhanced Raman spectroscopy
Ashok M. Raichur,Nanomedicine
Srinivasan Sampath,Nanomaterials
Murali Sastry,Nanomaterials
Murali Sastry,Nanotechnology
Murali Sastry,Thin film
Ashutosh Sharma (chemical engineer),Nanotechnology
Ashutosh Sharma (chemical engineer),Self-assembly of nanoparticles
Ajay K. Sood,Graphene
Ajay K. Sood,Nanotechnology
K. George Thomas,Nanomaterials
Uri Banin,Nano Letters
Uri Banin,Nanosys
Uri Banin,Paul Alivisatos
Uri Banin,Scanning tunneling spectroscopy
Ehud Gazit,Nanotechnology
Ehud Gazit,Nature Nanotechnology
Eran Rabani,Nano Letters
Eran Rabani,Nanomaterials
Ester H. Segal,Gene gun
Ester H. Segal,Michael J. Sailor
Ester H. Segal,Russell Berrie Nanotechnology Institute
Yoav Shechtman,ACS Nano
Yoav Shechtman,Nano Letters
Yoav Shechtman,Nanobiotechnology
Yoav Shechtman,Yoav Shechtman
Andrea Alù,Nader Engheta
Andrea Alù,Vladimir Shalaev
Andrea Alù,Yuri Kivshar
Cinzia Casiraghi,Graphene
Cinzia Casiraghi,Nanotechnology
Cinzia Casiraghi,National Graphene Institute
Paolo Samorì,ACS Nano
Paolo Samorì,Advanced Materials
Paolo Samorì,Nanoscale (journal)
Paolo Samorì,Small (journal)
Takuzo Aida,Hydrogen bond
Takuzo Aida,Intercalation (chemistry)
Takuzo Aida,Intermolecular force
Takuzo Aida,Molecular logic gate
Takuzo Aida,Molecular self-assembly
Takuzo Aida,Molecular tweezers
Takuzo Aida,National Institute for Materials Science
Takuzo Aida,Non-covalent interaction
Takuzo Aida,Supramolecular chemistry
Hideyuki Arata,Bio-MEMS
Hideyuki Arata,MEMS
Morinobu Endo,Chemical vapor deposition
Morinobu Endo,Nanotechnology
Leo Esaki,Superlattice
Mitsutaka Fujita,Katsunori Wakabayashi
Mitsutaka Fujita,Nanotechnology
Sumio Iijima,Nanotechnology
Hiromichi Kataura,Nanotechnology
Katsunori Wakabayashi,International Center for Materials Nanoarchitectonics
Katsunori Wakabayashi,Mitsutaka Fujita
Katsunori Wakabayashi,Nanotechnology
Katsunori Wakabayashi,National Institute for Materials Science
Richard Blaikie,MacDiarmid Institute for Advanced Materials and Nanotechnology
Nicola Gaston,MacDiarmid Institute for Advanced Materials and Nanotechnology
Alexey Ekimov,Spintronics
Claes-Göran Granqvist,Green nanotechnology
Claes-Göran Granqvist,Smart glass
Peter Nordlander,Naomi Halas
Hatice Altug,Nanolithography
Hatice Altug,Nanophotonics
Hatice Altug,Plasmonics
Hilmi Volkan Demir,Nanotechnology
Rusnano,Nanoelectronics
Rusnano,Nanomaterials
Rusnano,OCSiAl
Avengers: Infinity War,Black Panther (film)
Avengers: Infinity War,Iron Man's armor (Marvel Cinematic Universe)
The Day the Earth Stood Still (2008 film),Nanorobotics
Iron Man 3,Extremis
Iron Man 3,Iron Man's armor (Marvel Cinematic Universe)
Terminator 3: Rise of the Machines,Terminator (franchise)
Terminator 3: Rise of the Machines,Terminator Genisys
Transcendence (2014 film),Iron Man 3
Crysis Warhead,Crysis (video game)
Crysis Warhead,Crysis 2
Deus Ex (video game),Nanotechnology in fiction
Deus Ex: Invisible War,Deus Ex (video game)
Deus Ex: Invisible War,Nanotechnology
Generator Rex,Nanorobotics
Metal Gear,Crysis 2
Center for Functional Nanomaterials,Nanolithography
Molecular Foundry,Carbon nanotube
Egypt Nanotechnology Center,Graphene
Egypt Nanotechnology Center,Nanotechnology
Egypt Nanotechnology Center,Nile University
2 nm process,3 nm process
3 nm process,130 nm process
3 nm process,2 nm process
3 nm process,5 nm process
5 nm process,3 nm process
5 nm process,7 nm process
7 nm process,10 nm process
7 nm process,5 nm process
7 nm process,90 nm process
7 nm process,Extreme ultraviolet lithography
7 nm process,Multiple patterning
7 nm process,Phase-shift mask
10 nm process,14 nm process
10 nm process,7 nm process
14 nm process,10 nm process
14 nm process,22 nm process
14 nm process,Electron-beam lithography
22 nm process,14 nm process
22 nm process,32 nm process
22 nm process,Silicon on insulator
32 nm process,22 nm process
32 nm process,45 nm process
45 nm process,14 nm process
45 nm process,22 nm process
45 nm process,32 nm process
45 nm process,65 nm process
65 nm process,45 nm process
65 nm process,90 nm process
90 nm process,130 nm process
90 nm process,65 nm process
90 nm process,Photolithography
90 nm process,Thin film
90 nm process,X-ray lithography
180 nm process,130 nm process
180 nm process,250 nm process
Acene,Anthracene
Acene,Carbon nanotube
Acene,Hexacene
Acene,Pentacene
Acene,Tetracene
Dielectric elastomers,3M
Metal rubber,Conductive polymer
Metal rubber,Self-assembly
PEDOT-TMA,Dye-sensitized solar cell
PEDOT-TMA,OLED
Photoconductive polymer,Conductive polymer
Photoconductive polymer,Photodiode
PIDA (polymer),Crystal engineering
"Poly(3,4-ethylenedioxythiophene)",PEDOT-TMA
"Poly(3,4-ethylenedioxythiophene)",Polythiophene
Polyaniline nanofibers,Polyaniline
Polydioctylfluorene,Van der Waals force
Polythiazyl,Superconductivity
Anthracene,Tetracene
"9,10-Bis(phenylethynyl)anthracene","5,12-Bis(phenylethynyl)naphthacene"
"9,10-Bis(phenylethynyl)anthracene","9,10-Diphenylanthracene"
"1-Chloro-9,10-bis(phenylethynyl)anthracene","2-Chloro-9,10-bis(phenylethynyl)anthracene"
"1-Chloro-9,10-bis(phenylethynyl)anthracene","9,10-Bis(phenylethynyl)anthracene"
"2-Chloro-9,10-bis(phenylethynyl)anthracene","1-Chloro-9,10-bis(phenylethynyl)anthracene"
"2-Chloro-9,10-bis(phenylethynyl)anthracene","9,10-Bis(phenylethynyl)anthracene"
Diindenoperylene,OLED
Organic photorefractive materials,Smart glass
Organic photorefractive materials,Tetracyanoquinodimethane
Pentacene,Nanoscale (journal)
Pentacene,Perfluoropentacene
Pentacene,Van der Waals radius
Perfluoropentacene,OLED
Perylenetetracarboxylic dianhydride,Atomic force microscopy
Perylenetetracarboxylic dianhydride,Self-assembly
Quinacridone,Self-assembly
Quinacridone,Stacking (chemistry)
Luisa Torsi,Organic field-effect transistor
Catastrophin,Kinesin
Dynactin,DCTN6
Dynactin,Dynein
Dynactin,Motor protein
KIF4A,Kinesin
Kinesin,Dynein
Kinesin,KIF18A
Kinesin,KIF1A
Kinesin,KIF1C
Kinesin,KIF2A
Kinesin,KIF3C
Kinesin,KIF4A
Kinesin,KIF5B
Kinesin,KIF5C
Kinesin,Kinesin 13
Kinesin,Kinesin 8
Kinesin,Molecular motor
Kinesin 8,KIF18A
Meromyosin,Heavy meromyosin
Motility protein A,PomA
Motility protein A,PomB
Motility protein B,PomA
Motility protein B,PomB
Myosin,MYO1G
Myosin,MYO7A
Myosin,Motor protein
PomA,PomB
PomB,PomA
Bio-MEMS,Dielectrophoresis
Bio-MEMS,Hydrophobe
Bio-MEMS,MEMS
Bio-MEMS,Microfabrication
Bio-MEMS,Microfluidics
Bio-MEMS,Micropatterning
Bio-MEMS,Monitoring (medicine)
Bio-MEMS,Organ-on-a-chip
Bio-MEMS,Photolithography
Bio-MEMS,Surface plasmon resonance
Fariborz Maseeh,MEMS
MEMS,Bio-MEMS
MEMS,Electromechanical modeling
MEMS,Evaporation (deposition)
MEMS,Kelvin probe force microscope
MEMS,Microelectromechanical system oscillator
MEMS,Micromachinery
MEMS,Millipede memory
MEMS,Nanoelectromechanical systems
MEMS,Nanoscale (journal)
MEMS,Photolithography
MEMS,Richard Feynman
MEMS,Scratch drive actuator
MEMS,Silicon nanowire
MEMS,There's Plenty of Room at the Bottom
MEMS,X-ray lithography
Microscanner,Bulk micromachining
Microscanner,Micromirror device
Microscanner,Surface micromachining
Radio-frequency microelectromechanical system,Microelectromechanical system oscillator
Radio-frequency microelectromechanical system,Photolithography
Radio-frequency microelectromechanical system,Van der Waals force
Smartdust,Nanotechnology
Smartdust,Prey (novel)
Smartdust,The Diamond Age
Smartdust,The Invincible
Smartdust,Utility fog
Nanoparticle,Claes-Göran Granqvist
Nanoparticle,ISO/TS 80004
Nanoparticle,Icosahedral twins
Nanoparticle,Lycurgus Cup
Nanoparticle,Nanobiotechnology
Nanoparticle,Nanocrystalline silicon
Nanoparticle,Nanofluid
Nanoparticle,Nanogeoscience
Nanoparticle,Nanomaterials
Nanoparticle,Nanomedicine
Nanoparticle,Nanoparticle deposition
Nanoparticle,Nanotechnology
Nanoparticle,National Nanotechnology Initiative
Nanoparticle,Plasmon
Nanoparticle,Quantum dot
Nanoparticle,Scanning probe microscopy
Nanoparticle,Self-assembly of nanoparticles
Characterization of nanoparticles,Applications of nanotechnology
Characterization of nanoparticles,Energy applications of nanotechnology
Characterization of nanoparticles,Health and safety hazards of nanomaterials
Characterization of nanoparticles,ISO/TS 80004
Characterization of nanoparticles,Industrial applications of nanotechnology
Characterization of nanoparticles,Nanomedicine
Characterization of nanoparticles,Nanotechnology
Characterization of nanoparticles,Nanotoxicology
Characterization of nanoparticles,National Nanotechnology Initiative
Characterization of nanoparticles,Near-field scanning optical microscope
Characterization of nanoparticles,Ultrafine particle
Icosahedral twins,Cluster (physics)
Icosahedral twins,Nanotechnology
Icosahedral twins,Self-assembly of nanoparticles
Nano spray dryer,Carbon nanotube
Nanocluster,Dendrimer
Nanocluster,Molecular beam
Nanocomposite hydrogels,Nanomaterials
Nanoparticle deposition,Dip-coating
Nanoparticle deposition,Langmuir–Blodgett film
Nanoparticle deposition,Nanoparticle
Nanoparticle deposition,Spin coating
Self-assembly of nanoparticles,Dip-coating
Self-assembly of nanoparticles,Hamaker theory
Self-assembly of nanoparticles,Icosahedral twins
Self-assembly of nanoparticles,Langmuir–Blodgett film
Self-assembly of nanoparticles,Nanoparticle deposition
Self-assembly of nanoparticles,There's Plenty of Room at the Bottom
Artificial lattice,Atomic manipulation
Artificial lattice,Graphene
Artificial lattice,Scanning tunneling microscope
Nanosheet,Graphene
Nanosheet,Langmuir–Blodgett film
Nanosheet,Nanocrystal solar cell
Nanosheet,Nanoparticle
Nanosheet,Quantum dot
Single-layer materials,Andre Geim
Single-layer materials,Carbon (journal)
Single-layer materials,Germanene
Single-layer materials,Graphane
Single-layer materials,Graphene
Single-layer materials,Graphyne
Single-layer materials,Intercalation (chemistry)
Single-layer materials,Konstantin Novoselov
Single-layer materials,Plumbene
Single-layer materials,Scanning tunneling microscope
Single-layer materials,Silicene
Single-layer materials,Stanene
Single-layer materials,Van der Waals force
Boron nitride nanosheet,Chemical vapor deposition
Boron nitride nanosheet,Intercalation (chemistry)
Boron nitride nanosheet,Van der Waals force
Germanene,Scanning tunneling microscope
Graphene,Andre Geim
Graphene,Atomic force microscopy
Graphene,Carbon (journal)
Graphene,Epitaxy
Graphene,Germanene
Graphene,Graphene antenna
Graphene,Graphyne
Graphene,Konstantin Novoselov
Graphene,Nanoelectromechanical systems
Graphene,National Graphene Institute
Graphene,Photoresist
Graphene,Plumbene
Graphene,Scanning probe microscopy
Graphene,Silicene
Graphene,Stanene
Graphene,Thin film
Graphene,Ultrahydrophobicity
Graphene,Van der Waals force
Graphene boron nitride nanohybrid materials,Stacking (chemistry)
Graphyne,Carbon (journal)
Peptoid nanosheet,Langmuir–Blodgett film
Peptoid nanosheet,Nanosheet
Silicene,2D silica
Silicene,Germanene
Silicene,Plumbene
Silicene,Scanning tunneling microscope
Silicene,Self-assembly
Silicene,Stacking (chemistry)
Silicene,Stanene
Titanate nanosheet,Intercalation (chemistry)
Two-dimensional semiconductor,Graphene
Biomedical Materials (journal),Joyce Wong
Nanomedicine (Elsevier journal),ACS Nano
Nanomedicine (Elsevier journal),Journal of Biomedical Nanotechnology
Nanomedicine (Elsevier journal),Nanomedicine
Nanomedicine (Elsevier journal),Nanotoxicology
Nanomedicine (Future Medicine journal),Nanomedicine
ACS Nano,Paul Weiss (nanoscientist)
ACS Photonics,Harry Atwater
ACS Photonics,Plasmonics
ACS Photonics,Silicon photonics
Advanced Functional Materials,Advanced Materials
Advanced Functional Materials,Small (journal)
Beilstein Journal of Nanotechnology,Nanotechnology
Journal of Nanoscience and Nanotechnology,Nanotechnology
The Journal of Physical Chemistry C,Nanoparticle
The Journal of Physical Chemistry C,Nanotechnology
Lab on a Chip (journal),Lab-on-a-chip
Lab on a Chip (journal),Nanotechnology
Nano Letters,Nanotechnology
Nano Letters,Teri W. Odom
Nature Nanotechnology,Nanotechnology
Plasmonics (journal),Plasmonics
Engines of Creation,Drexler–Smalley debate on molecular nanotechnology
Engines of Creation,K. Eric Drexler
Engines of Creation,Molecular nanotechnology
Engines of Creation,Richard Feynman
Engines of Creation,Richard Smalley
Engines of Creation,There's Plenty of Room at the Bottom
Bipolar magnetic semiconductor,Spin polarization
Center for Quantum Spintronics,Electric charge
Center for Quantum Spintronics,Electron
Center for Quantum Spintronics,Spintronics
Michael Coey,Spintronics
Dresselhaus effect,Mildred Dresselhaus
Dresselhaus effect,Nanostructure
Dresselhaus effect,Rashba effect
Dresselhaus effect,Spin–orbit interaction
Electron,Cooper pair
Electron,Electron-beam lithography
Electron,Pauli exclusion principle
Electron,Positronium
Electron,Richard Feynman
Electron,Spintronics
Electron,Stern–Gerlach experiment
Extraordinary magnetoresistance,Colossal magnetoresistance
Extraordinary magnetoresistance,Giant magnetoresistance
Flux pumping,Cooper pair
Giant magnetoresistance,Spin valve
Giant magnetoresistance,Tunnel magnetoresistance
Heusler compound,Half-metal
Magnetic semiconductor,Hideo Ohno
Magnetoresistance,Colossal magnetoresistance
Magnetoresistance,Extraordinary magnetoresistance
Magnetoresistance,Giant magnetoresistance
Magnetoresistance,Spin–orbit interaction
Magnetoresistance,Tunnel magnetoresistance
Magnetoresistive RAM,Giant magnetoresistance
Magnetoresistive RAM,Magnetoresistance
Magnetoresistive RAM,Nano-RAM
Magnetoresistive RAM,Spin valve
Magnetoresistive RAM,Spin-transfer torque
Magnetoresistive RAM,Tunnel magnetoresistance
Nitrogen-vacancy center,Nature Nanotechnology
Nitrogen-vacancy center,Scanning thermal microscopy
Stuart Parkin,Racetrack memory
Positronium,Quantum electrodynamics
Racetrack memory,Giant magnetoresistance
Racetrack memory,Spin transistor
Racetrack memory,Spintronics
Racetrack memory,Stuart Parkin
Rashba effect,Rashba–Edelstein effect
Rashba effect,Spintronics
Rashba–Edelstein effect,Dresselhaus effect
Rashba–Edelstein effect,Rashba effect
Rashba–Edelstein effect,Spin Hall effect
Rashba–Edelstein effect,Spintronics
Rashba–Edelstein effect,Spin–orbit interaction
Silicon-vacancy center in diamond,Germanium-vacancy center in diamond
Silicon-vacancy center in diamond,Spin–orbit interaction
Spin engineering,Giant magnetoresistance
Spin engineering,Graphene
Spin engineering,Heusler compound
Spin engineering,Pauli exclusion principle
Spin engineering,Racetrack memory
Spin engineering,Spin Hall effect
Spin engineering,Spin pumping
Spin engineering,Spin transistor
Spin engineering,Spin valve
Spin engineering,Stern–Gerlach experiment
Spin engineering,Tunnel magnetoresistance
Spin Hall effect,Quantum spin Hall effect
Spin polarization,Magnetic semiconductor
Spin pumping,Spin Hall effect
Spin–orbit interaction,Dresselhaus effect
Spin–orbit interaction,Pauli exclusion principle
Spin–orbit interaction,Rashba effect
Spin-transfer torque,Rusnano
Spin-transfer torque,Spintronics
Spinterface,Giant magnetoresistance
Spinterface,Molecular electronics
Spinterface,OLED
Spinterface,Organic semiconductor
Spinterface,Rashba effect
Spinterface,Spin valve
Spinterface,Spintronics
Spinterface,Tunnel magnetoresistance
Superconductivity,Cooper pair
Superconductivity,Leo Esaki
Superlattice,Leo Esaki
Superlattice,Physical vapor deposition
Tunnel magnetoresistance,Magnetoresistance
Tunnel magnetoresistance,Spin-transfer torque
Clathrate compound,Dianin's compound
Clathrate compound,Host–guest chemistry
Clathrate compound,Intercalation (chemistry)
Clathrate compound,Molecular tweezers
Clathrate gun hypothesis,Clathrate compound
Dianin's compound,Clathrate compound
Crown ether,9-Crown-3
Crown ether,Cryptand
Crown ether,Metallacrown
9-Crown-3,"1,4-Dioxane"
12-Crown-4,Crown ether
18-Crown-6,Dibenzo-18-crown-6
"1,4-Dioxane",Crown ether
Ferrocene-containing dendrimers,Dendrimer
Metallodendrimer,Ferrocene-containing dendrimers
Intermolecular force,Force field (chemistry)
Intermolecular force,Hamaker theory
Intermolecular force,Hydrogen bond
Intermolecular force,Hydrophobic effect
Intermolecular force,Ionic bonding
Intermolecular force,Lennard-Jones potential
Intermolecular force,London dispersion force
Adhesion,Cohesion (chemistry)
Adhesion,Hamaker constant
Adhesion,Intermolecular force
Adhesion,London dispersion force
Adhesion,Synthetic setae
Buckingham potential,Lennard-Jones potential
Buckingham potential,Pauli exclusion principle
Cohesion (chemistry),Adhesion
Cohesion (chemistry),Surface tension
Cohesion (chemistry),Van der Waals force
Combining rules,Buckingham potential
Combining rules,Lennard-Jones potential
Dispersive adhesion,Adhesion
Dispersive adhesion,Intermolecular force
Force field (chemistry),Drude model
Force field (chemistry),Hamaker constant
Force field (chemistry),Intermolecular force
Force field (chemistry),Jacob Israelachvili
Force field (chemistry),Lennard-Jones potential
Force field (chemistry),Molecular mechanics
Halogen bond,Crystal engineering
Halogen bond,Van der Waals radius
Hamaker constant,Hamaker theory
Hellmann–Feynman theorem,Richard Feynman
Hellmann–Feynman theorem,Van der Waals force
Hydrophile,Hydrophobicity scales
Hydrophile,Ultrahydrophobicity
Hydrophobe,Advanced Materials
Silicon organic water repellent,Hydrophile
Silicon organic water repellent,Hydrophobe
Silicon organic water repellent,Hydrophobic effect
Silicon organic water repellent,Hydrophobicity scales
Silicon organic water repellent,Superhydrophobic coating
Interbilayer forces in membrane fusion,Hamaker constant
Interbilayer forces in membrane fusion,Hydrophobic effect
Interbilayer forces in membrane fusion,Surface forces apparatus
Interface force field,Force field (chemistry)
Interface force field,Lennard-Jones potential
Lennard-Jones potential,Buckingham potential
Lennard-Jones potential,Force field (chemistry)
Lennard-Jones potential,London dispersion force
Lennard-Jones potential,Molecular mechanics
Lennard-Jones potential,Morse/Long-range potential
Lennard-Jones potential,Pauli exclusion principle
London dispersion force,Hamaker constant
London dispersion force,Pauli exclusion principle
Molecular mechanics,Force field (chemistry)
Molecular mechanics,Lennard-Jones potential
Morse/Long-range potential,Lennard-Jones potential
Pair potential,Lennard-Jones potential
Surface forces apparatus,Jacob Israelachvili
Surface tension,Cohesion (chemistry)
Surface tension,Hydrophobic effect
Surface tension,Microfluidics
Surface tension,Van der Waals force
Ultrahydrophobicity,Hydrophobe
Ultrahydrophobicity,Hydrophobicity scales
Ultrahydrophobicity,Lotus effect
Ultrahydrophobicity,Superhydrophobic coating
Van der Waals force,Cohesion (chemistry)
Van der Waals force,Hamaker constant
Van der Waals force,Lennard-Jones potential
Van der Waals force,London dispersion force
Van der Waals force,Pauli exclusion principle
Van der Waals force,Synthetic setae
Van der Waals force,Van der Waals radius
Van der Waals force,Van der Waals surface
Van der Waals radius,Van der Waals force
Van der Waals radius,Van der Waals surface
Van der Waals surface,Van der Waals force
Van der Waals surface,Van der Waals radius
Membrane topology,Protein topology
Protein topology,Circuit topology
Protein topology,Membrane topology
Thin-film solar cell,Amorphous silicon
Thin-film solar cell,Black silicon
Thin-film solar cell,Cadmium telluride photovoltaics
Thin-film solar cell,Dye-sensitized solar cell
Thin-film solar cell,Epitaxy
Thin-film solar cell,Nanocrystal solar cell
Thin-film solar cell,Perovskite solar cell
Thin-film solar cell,Plasmonic solar cell
Thin-film solar cell,Quantum dot solar cell
Amorphous silicon,Anwell Technologies
Amorphous silicon,Atomic layer deposition
Amorphous silicon,Cadmium telluride photovoltaics
Amorphous silicon,Chemical vapor deposition
Amorphous silicon,Nanoparticle
Amorphous silicon,Physical vapor deposition
Amorphous silicon,Plasma-enhanced chemical vapor deposition
Amorphous silicon,Protocrystalline
Amorphous silicon,Sputter deposition
Anwell Technologies,OLED
Black silicon,Small (journal)
Dye-sensitized solar cell,Electron
Dye-sensitized solar cell,Luminescent solar concentrator
Dye-sensitized solar cell,Nanoparticle
Dye-sensitized solar cell,Perovskite solar cell
Perovskite solar cell,Charge-transfer complex
Perovskite solar cell,Dye-sensitized solar cell
Perovskite solar cell,Nanocrystal solar cell
Perovskite solar cell,Perovskite solar cell
Perovskite solar cell,Spin coating
Protocrystalline,Amorphous silicon
Atomic layer deposition,Chemical vapor deposition
Atomic layer deposition,OLED
Atomic layer epitaxy,Atomic layer deposition
Atomic layer epitaxy,Chemical vapor deposition
Cathodic arc deposition,Ion beam deposition
Cathodic arc deposition,Physical vapor deposition
Chemical beam epitaxy,Chemical vapor deposition
Chemical beam epitaxy,Epitaxy
Chemical vapor deposition,Atomic layer deposition
Chemical vapor deposition,Atomic layer epitaxy
Chemical vapor deposition,Epitaxy
Chemical vapor deposition,Ion plating
Chemical vapor deposition,Microfabrication
Chemical vapor deposition,Plasma-enhanced chemical vapor deposition
Chemical vapor deposition,Virtual metrology
Combustion chemical vapor deposition,Atomic layer deposition
Combustion chemical vapor deposition,Chemical vapor deposition
Combustion chemical vapor deposition,Physical vapor deposition
Combustion chemical vapor deposition,Plasma-enhanced chemical vapor deposition
Diamond-like carbon,Cathodic arc deposition
Diamond-like carbon,Chemical vapor deposition
Diamond-like carbon,Nanotechnology
Dip-coating,Nanoparticle deposition
Dip-coating,Spin coating
Epitaxy,Atomic layer epitaxy
Epitaxy,Island growth
Epitaxy,Nano-RAM
Epitaxy,Silicon on sapphire
Epitaxy,Thin film
Epitaxy,Wake Shield Facility
Evaporation,Thin film
Evaporation (deposition),Quantum well
Evaporation (deposition),Scanning tunneling microscope
Focused ion beam,Ion beam
Focused ion beam,Magnetic force microscope
Focused ion beam,Richard Feynman
Hybrid physical–chemical vapor deposition,Chemical vapor deposition
Hybrid physical–chemical vapor deposition,Evaporation (deposition)
Hybrid physical–chemical vapor deposition,Physical vapor deposition
Ion beam,Focused ion beam
Ion beam,Nanofluidics
Ion layer gas reaction,Chemical bath deposition
Ion plating,Physical vapor deposition
Ion plating,Sputter deposition
Island growth,Stranski–Krastanov growth
Lely method,Sublimation sandwich method
Low-energy plasma-enhanced chemical vapor deposition,Chemical vapor deposition
Low-energy plasma-enhanced chemical vapor deposition,Epitaxy
Low-energy plasma-enhanced chemical vapor deposition,Plasma-enhanced chemical vapor deposition
Metalorganic vapour-phase epitaxy,Atomic layer deposition
Molecular layer deposition,Atomic force microscopy
Molecular layer deposition,Covalent organic framework
Molecular layer deposition,Grazing-incidence small-angle scattering
Molecular layer deposition,Thin film
Molecular-beam epitaxy,Nature Nanotechnology
Molecular-beam epitaxy,Pulsed laser deposition
Molecular-beam epitaxy,Quantum well
Molecular-beam epitaxy,Scanning tunneling microscope
Molecular-beam epitaxy,Stranski–Krastanov growth
Molecular-beam epitaxy,Vacuum deposition
Molecular-beam epitaxy,Wetting layer
Physical vapor deposition,Cathodic arc deposition
Physical vapor deposition,Chemical vapor deposition
Physical vapor deposition,Close-space sublimation
Physical vapor deposition,Electron-beam physical vapor deposition
Physical vapor deposition,Evaporation (deposition)
Physical vapor deposition,Ion plating
Physical vapor deposition,Pulsed laser deposition
Physical vapor deposition,Sputter deposition
Physical vapor deposition,Sublimation sandwich method
Physical vapor deposition,Thin-film solar cell
Physical vapor deposition,Vacuum deposition
Silicon on sapphire,Epitaxy
Silicon on sapphire,Silicon on insulator
Sol–gel process,Ormosil
Sputter deposition,Diamond-like carbon
Sputter deposition,Evaporation (deposition)
Sputter deposition,Pulsed laser deposition
Sputter deposition,Thin film
Sputtering,Sputter deposition
Sublimation sandwich method,Epitaxy
Sublimation sandwich method,Lely method
Thermal barrier coating,Thermal spraying
Thermal spraying,Thin film
Tinning,Plating
Tinplate,Plating
Vacuum deposition,Cathodic arc deposition
Vacuum deposition,Evaporation (deposition)
Vacuum deposition,Ion plating
Vacuum deposition,Molecular vapor deposition
Vacuum deposition,Plasma-enhanced chemical vapor deposition
Vacuum deposition,Spin coating
Vacuum deposition,Sputter deposition
Vacuum evaporation,Vacuum deposition
FlexEnable,AMOLED
FlexEnable,OLED
FlexEnable,Organic field-effect transistor
FlexEnable,Plastic Logic
Flexible display,AMOLED
Flexible display,Flexible organic light-emitting diode
Flexible display,Human Media Lab
Flexible display,OLED
Flexible display,Organic field-effect transistor
Flexible display,Organic user interface
Flexible display,Thin-film transistor
Organic user interface,Flexible display
Organic user interface,Flexible organic light-emitting diode
Plastic Logic,FlexEnable
Plastic Logic,Human Media Lab
Plastic Logic,Rusnano
Xiaomi Mi MIX Alpha,AMOLED
Thin-film optics,Dichroic filter
Thin-film optics,Dichroic prism
Thin-film optics,Thin-film interference
Anti-reflective coating,Anti-scratch coating
Anti-reflective coating,Dichroic filter
Anti-reflective coating,Langmuir–Blodgett film
Anti-reflective coating,Optical coating
Anti-scratch coating,Anti-reflective coating
Crystalline coatings,Optical coating
Dichroic filter,Thin-film optics
Dichroic prism,Thin-film optics
Optical coating,Diamond-like carbon
Thin-film interference,Structural coloration
Thin-film interference,Thin-film optics
